Value, Time of DA (ns), Prime? (According to DA), Time of RA (ns), Prime? (According to RA)
10000000000000988,2000,NO,300,NO
10000000000000989,2100,NO,5900,NO
10000000000000990,1900,NO,300,NO
10000000000000991,1025196000,YES,150200,YES
10000000000000992,6300,NO,500,NO
10000000000000993,4500,NO,11000,NO
10000000000000994,2400,NO,400,NO
10000000000000995,2100,NO,13400,NO
10000000000000996,2100,NO,300,NO
10000000000000997,2200,NO,5200,NO
10000000000000998,1900,NO,300,NO
10000000000000999,2500,NO,5000,NO
10000000000001000,2000,NO,300,NO
10000000000001001,2100,NO,31900,NO
10000000000001002,2000,NO,300,NO
10000000000001003,2200,NO,4300,NO
10000000000001004,1900,NO,300,NO
10000000000001005,2000,NO,3700,NO
10000000000001006,2300,NO,300,NO
10000000000001007,2000,NO,3900,NO
10000000000001008,2000,NO,300,NO
10000000000001009,2900,NO,3400,NO
10000000000001010,2100,NO,300,NO
10000000000001011,2100,NO,3900,NO
10000000000001012,7100,NO,600,NO
10000000000001013,10700,NO,7000,NO
10000000000001014,4300,NO,600,NO
10000000000001015,2400,NO,7200,NO
10000000000001016,2300,NO,400,NO
10000000000001017,45200,NO,6400,NO
10000000000001018,2000,NO,300,NO
10000000000001019,1800,NO,5000,NO
10000000000001020,1800,NO,300,NO
10000000000001021,2600,NO,4000,NO
10000000000001022,1700,NO,300,NO
10000000000001023,2366100,NO,7900,NO
10000000000001024,2300,NO,300,NO
10000000000001025,2000,NO,4700,NO
10000000000001026,1700,NO,300,NO
10000000000001027,709026600,NO,20400,NO
10000000000001028,5400,NO,600,NO
10000000000001029,1054822700,YES,120300,YES
10000000000001030,4800,NO,600,NO
10000000000001031,2200,NO,22300,NO
10000000000001032,1900,NO,400,NO
10000000000001033,1900,NO,8700,NO
10000000000001034,1700,NO,300,NO
10000000000001035,1800,NO,4100,NO
10000000000001036,1700,NO,300,NO
10000000000001037,1700,NO,3800,NO
10000000000001038,2500,NO,400,NO
10000000000001039,1900,NO,5300,NO
10000000000001040,1700,NO,300,NO
10000000000001041,2100,NO,4600,NO
10000000000001042,1700,NO,300,NO
10000000000001043,1800,NO,4000,NO
10000000000001044,1800,NO,300,NO
10000000000001045,1800,NO,4500,NO
10000000000001046,1700,NO,300,NO
10000000000001047,3100,NO,4300,NO
10000000000001048,1800,NO,400,NO
10000000000001049,1900,NO,4000,NO
10000000000001050,1700,NO,1300,NO
10000000000001051,242000,NO,6100,NO
10000000000001052,2600,NO,300,NO
10000000000001053,1800,NO,4200,NO
10000000000001054,1700,NO,300,NO
10000000000001055,1800,NO,3500,NO
10000000000001056,7200,NO,300,NO
10000000000001057,2300,NO,4500,NO
10000000000001058,1800,NO,300,NO
10000000000001059,2576100,NO,13200,NO
10000000000001060,2700,NO,400,NO
10000000000001061,1800,NO,5300,NO
10000000000001062,1700,NO,400,NO
10000000000001063,2000,NO,4400,NO
10000000000001064,1700,NO,300,NO
10000000000001065,1700,NO,3700,NO
10000000000001066,1700,NO,300,NO
10000000000001067,1700,NO,4200,NO
10000000000001068,1600,NO,300,NO
10000000000001069,5400,NO,4100,NO
10000000000001070,1600,NO,300,NO
10000000000001071,3100,NO,3800,NO
10000000000001072,1800,NO,300,NO
10000000000001073,1700,NO,3600,NO
10000000000001074,2300,NO,400,NO
10000000000001075,1800,NO,4200,NO
10000000000001076,1600,NO,300,NO
10000000000001077,1700,NO,3700,NO
10000000000001078,1700,NO,300,NO
10000000000001079,1600,NO,5800,NO
10000000000001080,1500,NO,300,NO
10000000000001081,1700,NO,3600,NO
10000000000001082,1500,NO,300,NO
10000000000001083,322900,NO,5900,NO
10000000000001084,2200,NO,300,NO
10000000000001085,1700,NO,6100,NO
10000000000001086,1700,NO,300,NO
10000000000001087,1800,NO,3600,NO
10000000000001088,1600,NO,300,NO
10000000000001089,1800,NO,4000,NO
10000000000001090,1600,NO,300,NO
10000000000001091,1800,NO,4200,NO
10000000000001092,1700,NO,300,NO
10000000000001093,51400,NO,4200,NO
10000000000001094,1800,NO,200,NO
10000000000001095,1700,NO,4000,NO
10000000000001096,1500,NO,300,NO
10000000000001097,1600,NO,3700,NO
10000000000001098,1600,NO,200,NO
10000000000001099,1600,NO,3600,NO
10000000000001100,1500,NO,300,NO
10000000000001101,1059230100,YES,97100,YES
10000000000001102,5000,NO,700,NO
10000000000001103,2000,NO,5700,NO
10000000000001104,1800,NO,300,NO
10000000000001105,1800,NO,5000,NO
10000000000001106,1700,NO,300,NO
10000000000001107,4900,NO,4200,NO
10000000000001108,1700,NO,400,NO
10000000000001109,1600,NO,5800,NO
10000000000001110,1700,NO,300,NO
10000000000001111,3600,NO,4100,NO
10000000000001112,1600,NO,200,NO
10000000000001113,44300,NO,4700,NO
10000000000001114,2100,NO,300,NO
10000000000001115,1800,NO,4200,NO
10000000000001116,1600,NO,300,NO
10000000000001117,1800,NO,3600,NO
10000000000001118,1500,NO,200,NO
10000000000001119,36700,NO,11500,NO
10000000000001120,11900,NO,300,NO
10000000000001121,1700,NO,4600,NO
10000000000001122,1500,NO,200,NO
10000000000001123,4000,NO,3700,NO
10000000000001124,18300,NO,300,NO
10000000000001125,1600,NO,4000,NO
10000000000001126,1400,NO,300,NO
10000000000001127,1400,NO,3800,NO
10000000000001128,1400,NO,300,NO
10000000000001129,1034135000,YES,88400,YES
10000000000001130,5200,NO,600,NO
10000000000001131,2900,NO,6300,NO
10000000000001132,1700,NO,400,NO
10000000000001133,1600,NO,4600,NO
10000000000001134,1600,NO,300,NO
10000000000001135,1700,NO,4100,NO
10000000000001136,1600,NO,300,NO
10000000000001137,1600,NO,3600,NO
10000000000001138,1600,NO,300,NO
10000000000001139,1600,NO,4100,NO
10000000000001140,1600,NO,300,NO
10000000000001141,1800,NO,4100,NO
10000000000001142,1400,NO,300,NO
10000000000001143,1700,NO,3900,NO
10000000000001144,1500,NO,300,NO
10000000000001145,1400,NO,3700,NO
10000000000001146,1400,NO,300,NO
10000000000001147,2200,NO,3600,NO
10000000000001148,1400,NO,300,NO
10000000000001149,15100,NO,3800,NO
10000000000001150,1600,NO,300,NO
10000000000001151,7200,NO,3900,NO
10000000000001152,1600,NO,400,NO
10000000000001153,8798700,NO,34100,NO
10000000000001154,4600,NO,500,NO
10000000000001155,2100,NO,13900,NO
10000000000001156,1700,NO,400,NO
10000000000001157,1600,NO,4800,NO
10000000000001158,1600,NO,200,NO
10000000000001159,9200,NO,12400,NO
10000000000001160,1700,NO,300,NO
10000000000001161,31997100,NO,19600,NO
10000000000001162,4700,NO,600,NO
10000000000001163,1900,NO,6700,NO
10000000000001164,1700,NO,400,NO
10000000000001165,1800,NO,8100,NO
10000000000001166,1700,NO,300,NO
10000000000001167,1800,NO,5100,NO
10000000000001168,1500,NO,300,NO
10000000000001169,1500,NO,4100,NO
10000000000001170,1500,NO,300,NO
10000000000001171,5300,NO,4600,NO
10000000000001172,1400,NO,300,NO
10000000000001173,1800,NO,3600,NO
10000000000001174,1800,NO,200,NO
10000000000001175,1400,NO,10300,NO
10000000000001176,1500,NO,300,NO
10000000000001177,8100,NO,3500,NO
10000000000001178,1500,NO,400,NO
10000000000001179,1900,NO,3800,NO
10000000000001180,1500,NO,300,NO
10000000000001181,1400,NO,3600,NO
10000000000001182,1300,NO,200,NO
10000000000001183,3100,NO,3600,NO
10000000000001184,1500,NO,300,NO
10000000000001185,1500,NO,3700,NO
10000000000001186,1500,NO,300,NO
10000000000001187,1400,NO,4300,NO
