Value, Time of DA (ns), Prime? (According to DA), Time of RA (ns), Prime? (According to RA)
10000000000026991,1300,NO,4000,NO
10000000000026992,400,NO,100,NO
10000000000026993,300,NO,2600,NO
10000000000026994,300,NO,200,NO
10000000000026995,400,NO,2200,NO
10000000000026996,200,NO,100,NO
10000000000026997,6500,NO,1700,NO
10000000000026998,300,NO,100,NO
10000000000026999,300,NO,1800,NO
10000000000027000,300,NO,100,NO
10000000000027001,900,NO,1600,NO
10000000000027002,200,NO,100,NO
10000000000027003,648700,NO,2800,NO
10000000000027004,400,NO,100,NO
10000000000027005,300,NO,1700,NO
10000000000027006,300,NO,100,NO
10000000000027007,1034169200,YES,45900,YES
10000000000027008,1600,NO,500,NO
10000000000027009,500,NO,2400,NO
10000000000027010,300,NO,100,NO
10000000000027011,300,NO,1800,NO
10000000000027012,300,NO,200,NO
10000000000027013,1031837500,YES,45100,YES
10000000000027014,1100,NO,300,NO
10000000000027015,400,NO,2400,NO
10000000000027016,300,NO,200,NO
10000000000027017,300,NO,1800,NO
10000000000027018,300,NO,100,NO
10000000000027019,323100,NO,3000,NO
10000000000027020,400,NO,100,NO
10000000000027021,600,NO,2100,NO
10000000000027022,300,NO,100,NO
10000000000027023,300,NO,1500,NO
10000000000027024,300,NO,100,NO
10000000000027025,400,NO,1600,NO
10000000000027026,300,NO,100,NO
10000000000027027,1300,NO,1500,NO
10000000000027028,300,NO,100,NO
10000000000027029,300,NO,1600,NO
10000000000027030,300,NO,100,NO
10000000000027031,1215500,NO,2800,NO
10000000000027032,300,NO,100,NO
10000000000027033,1600,NO,3300,NO
10000000000027034,400,NO,200,NO
10000000000027035,400,NO,2800,NO
10000000000027036,300,NO,100,NO
10000000000027037,400,NO,2200,NO
10000000000027038,300,NO,100,NO
10000000000027039,501200,NO,2400,NO
10000000000027040,300,NO,100,NO
10000000000027041,300,NO,2000,NO
10000000000027042,200,NO,100,NO
10000000000027043,1700,NO,1600,NO
10000000000027044,300,NO,100,NO
10000000000027045,300,NO,1700,NO
10000000000027046,200,NO,100,NO
10000000000027047,300,NO,1600,NO
10000000000027048,300,NO,100,NO
10000000000027049,1252200,NO,2400,NO
10000000000027050,400,NO,200,NO
10000000000027051,400,NO,2100,NO
10000000000027052,300,NO,100,NO
10000000000027053,300,NO,1600,NO
10000000000027054,200,NO,100,NO
10000000000027055,300,NO,1500,NO
10000000000027056,300,NO,100,NO
10000000000027057,2200,NO,1600,NO
10000000000027058,300,NO,100,NO
10000000000027059,300,NO,1700,NO
10000000000027060,300,NO,100,NO
10000000000027061,105800,NO,2000,NO
10000000000027062,300,NO,100,NO
10000000000027063,500,NO,1800,NO
10000000000027064,300,NO,100,NO
10000000000027065,300,NO,1700,NO
10000000000027066,200,NO,100,NO
10000000000027067,700,NO,1500,NO
10000000000027068,300,NO,200,NO
10000000000027069,1035126500,YES,46500,YES
10000000000027070,1700,NO,100,NO
10000000000027071,500,NO,2500,NO
10000000000027072,300,NO,100,NO
10000000000027073,195800,NO,3000,NO
10000000000027074,400,NO,100,NO
10000000000027075,400,NO,1900,NO
10000000000027076,300,NO,100,NO
10000000000027077,300,NO,1600,NO
10000000000027078,300,NO,100,NO
10000000000027079,400,NO,1500,NO
10000000000027080,300,NO,100,NO
10000000000027081,400,NO,1600,NO
10000000000027082,300,NO,100,NO
10000000000027083,300,NO,1700,NO
10000000000027084,300,NO,100,NO
10000000000027085,400,NO,1700,NO
10000000000027086,300,NO,100,NO
10000000000027087,1028816900,YES,46900,YES
10000000000027088,1700,NO,200,NO
10000000000027089,400,NO,2600,NO
10000000000027090,300,NO,200,NO
10000000000027091,1000,NO,1800,NO
10000000000027092,300,NO,100,NO
10000000000027093,400,NO,1600,NO
10000000000027094,300,NO,100,NO
10000000000027095,300,NO,1700,NO
10000000000027096,200,NO,100,NO
10000000000027097,500,NO,1600,NO
10000000000027098,200,NO,100,NO
10000000000027099,700,NO,1600,NO
10000000000027100,300,NO,0,NO
10000000000027101,300,NO,1600,NO
10000000000027102,1100,NO,300,NO
10000000000027103,600,NO,3600,NO
10000000000027104,300,NO,100,NO
10000000000027105,400,NO,2200,NO
10000000000027106,300,NO,100,NO
10000000000027107,400,NO,2100,NO
10000000000027108,300,NO,100,NO
10000000000027109,500,NO,1700,NO
10000000000027110,300,NO,100,NO
10000000000027111,800,NO,1700,NO
10000000000027112,300,NO,100,NO
10000000000027113,300,NO,1900,NO
10000000000027114,300,NO,100,NO
10000000000027115,300,NO,1600,NO
10000000000027116,300,NO,100,NO
10000000000027117,1028395500,YES,44400,YES
10000000000027118,1000,NO,200,NO
10000000000027119,400,NO,2700,NO
10000000000027120,400,NO,100,NO
10000000000027121,500,NO,1900,NO
10000000000027122,300,NO,100,NO
10000000000027123,60700,NO,1900,NO
10000000000027124,300,NO,100,NO
10000000000027125,400,NO,1900,NO
10000000000027126,400,NO,100,NO
10000000000027127,1600,NO,1800,NO
10000000000027128,200,NO,100,NO
10000000000027129,11700,NO,1500,NO
10000000000027130,300,NO,100,NO
10000000000027131,300,NO,1600,NO
10000000000027132,300,NO,100,NO
10000000000027133,1000,NO,1600,NO
10000000000027134,200,NO,100,NO
10000000000027135,400,NO,1500,NO
10000000000027136,200,NO,100,NO
10000000000027137,300,NO,1700,NO
10000000000027138,300,NO,100,NO
10000000000027139,1035524800,YES,43900,YES
10000000000027140,1500,NO,200,NO
10000000000027141,500,NO,2200,NO
10000000000027142,300,NO,200,NO
10000000000027143,300,NO,1800,NO
10000000000027144,300,NO,100,NO
10000000000027145,400,NO,1600,NO
10000000000027146,300,NO,100,NO
10000000000027147,500,NO,1700,NO
10000000000027148,200,NO,100,NO
10000000000027149,400,NO,1600,NO
10000000000027150,200,NO,100,NO
10000000000027151,900,NO,1500,NO
10000000000027152,200,NO,100,NO
10000000000027153,2900,NO,1700,NO
10000000000027154,200,NO,100,NO
10000000000027155,300,NO,6900,NO
10000000000027156,200,NO,100,NO
10000000000027157,600,NO,1500,NO
10000000000027158,200,NO,100,NO
10000000000027159,600,NO,1500,NO
10000000000027160,300,NO,100,NO
10000000000027161,300,NO,1500,NO
10000000000027162,300,NO,100,NO
10000000000027163,400,NO,1800,NO
10000000000027164,200,NO,100,NO
10000000000027165,300,NO,1500,NO
10000000000027166,300,NO,100,NO
10000000000027167,300,NO,1600,NO
10000000000027168,300,NO,100,NO
10000000000027169,500,NO,1500,NO
10000000000027170,200,NO,100,NO
10000000000027171,37716700,NO,7100,NO
10000000000027172,2200,NO,300,NO
10000000000027173,400,NO,3000,NO
10000000000027174,300,NO,100,NO
10000000000027175,400,NO,2000,NO
10000000000027176,300,NO,100,NO
10000000000027177,400,NO,1700,NO
10000000000027178,300,NO,100,NO
10000000000027179,300,NO,1700,NO
10000000000027180,300,NO,100,NO
10000000000027181,1033286400,YES,45200,YES
10000000000027182,1400,NO,600,NO
10000000000027183,2000,NO,2400,NO
10000000000027184,200,NO,100,NO
10000000000027185,400,NO,2200,NO
10000000000027186,300,NO,100,NO
10000000000027187,2500,NO,1800,NO
10000000000027188,300,NO,200,NO
10000000000027189,800,NO,1800,NO
10000000000027190,300,NO,100,NO
10000000000027191,300,NO,1600,NO
10000000000027192,300,NO,0,NO
10000000000027193,400,NO,1500,NO
10000000000027194,300,NO,100,NO
10000000000027195,400,NO,1500,NO
10000000000027196,200,NO,100,NO
10000000000027197,300,NO,1500,NO
10000000000027198,300,NO,100,NO
10000000000027199,500,NO,1500,NO
10000000000027200,300,NO,100,NO
10000000000027201,108317900,NO,7200,NO
10000000000027202,2100,NO,400,NO
10000000000027203,600,NO,3300,NO
10000000000027204,300,NO,200,NO
10000000000027205,400,NO,2000,NO
10000000000027206,300,NO,100,NO
10000000000027207,2000,NO,2000,NO
10000000000027208,300,NO,200,NO
10000000000027209,1300,NO,3000,NO
10000000000027210,500,NO,100,NO
10000000000027211,4500,NO,3000,NO
10000000000027212,400,NO,200,NO
10000000000027213,500,NO,2400,NO
10000000000027214,300,NO,100,NO
10000000000027215,300,NO,2000,NO
10000000000027216,300,NO,100,NO
10000000000027217,4400,NO,1700,NO
10000000000027218,1100,NO,300,NO
10000000000027219,700,NO,3100,NO
10000000000027220,400,NO,200,NO
10000000000027221,300,NO,2200,NO
10000000000027222,300,NO,100,NO
10000000000027223,500,NO,2000,NO
10000000000027224,300,NO,100,NO
10000000000027225,400,NO,1700,NO
10000000000027226,300,NO,200,NO
10000000000027227,300,NO,1800,NO
10000000000027228,200,NO,100,NO
10000000000027229,1800,NO,1700,NO
10000000000027230,300,NO,100,NO
10000000000027231,800,NO,1700,NO
10000000000027232,200,NO,100,NO
10000000000027233,200,NO,1600,NO
10000000000027234,300,NO,100,NO
10000000000027235,400,NO,1600,NO
10000000000027236,1100,NO,200,NO
10000000000027237,536789900,NO,6900,NO
10000000000027238,1300,NO,400,NO
10000000000027239,600,NO,3000,NO
10000000000027240,1600,NO,400,NO
10000000000027241,4100,NO,4200,NO
10000000000027242,500,NO,200,NO
10000000000027243,4700,NO,3300,NO
10000000000027244,400,NO,200,NO
10000000000027245,400,NO,2900,NO
10000000000027246,400,NO,100,NO
10000000000027247,500,NO,2100,NO
10000000000027248,500,NO,200,NO
10000000000027249,1500,NO,2700,NO
10000000000027250,400,NO,200,NO
10000000000027251,400,NO,2700,NO
10000000000027252,400,NO,200,NO
10000000000027253,12200,NO,4200,NO
10000000000027254,700,NO,200,NO
10000000000027255,700,NO,2700,NO
10000000000027256,400,NO,200,NO
10000000000027257,300,NO,1900,NO
10000000000027258,300,NO,100,NO
10000000000027259,800,NO,1500,NO
10000000000027260,200,NO,100,NO
10000000000027261,400,NO,1600,NO
10000000000027262,400,NO,100,NO
10000000000027263,300,NO,1700,NO
10000000000027264,300,NO,100,NO
10000000000027265,400,NO,1900,NO
10000000000027266,200,NO,100,NO
10000000000027267,800,NO,1600,NO
10000000000027268,300,NO,100,NO
10000000000027269,300,NO,1600,NO
10000000000027270,300,NO,100,NO
10000000000027271,1000,NO,1800,NO
10000000000027272,400,NO,200,NO
10000000000027273,600,NO,1800,NO
10000000000027274,800,NO,100,NO
10000000000027275,500,NO,3000,NO
10000000000027276,300,NO,100,NO
10000000000027277,1032947800,YES,44900,YES
10000000000027278,2200,NO,300,NO
10000000000027279,600,NO,2200,NO
10000000000027280,300,NO,100,NO
10000000000027281,300,NO,2000,NO
10000000000027282,300,NO,100,NO
10000000000027283,900,NO,1700,NO
10000000000027284,300,NO,100,NO
10000000000027285,300,NO,1800,NO
10000000000027286,300,NO,100,NO
10000000000027287,300,NO,1600,NO
10000000000027288,300,NO,100,NO
10000000000027289,300,NO,1600,NO
10000000000027290,300,NO,100,NO
10000000000027291,53400,NO,1600,NO
10000000000027292,200,NO,100,NO
10000000000027293,300,NO,1700,NO
10000000000027294,300,NO,100,NO
10000000000027295,300,NO,1400,NO
10000000000027296,200,NO,100,NO
10000000000027297,400,NO,1500,NO
10000000000027298,300,NO,200,NO
10000000000027299,400,NO,1600,NO
10000000000027300,300,NO,100,NO
10000000000027301,400,NO,1500,NO
10000000000027302,300,NO,100,NO
10000000000027303,400,NO,1600,NO
10000000000027304,300,NO,100,NO
10000000000027305,300,NO,1500,NO
10000000000027306,300,NO,100,NO
10000000000027307,273400,NO,2200,NO
10000000000027308,1400,NO,500,NO
10000000000027309,442113600,NO,7600,NO
10000000000027310,2000,NO,400,NO
10000000000027311,400,NO,3000,NO
10000000000027312,300,NO,100,NO
10000000000027313,1034572800,YES,44200,YES
10000000000027314,1900,NO,400,NO
10000000000027315,400,NO,2200,NO
10000000000027316,200,NO,100,NO
10000000000027317,300,NO,1700,NO
10000000000027318,300,NO,100,NO
10000000000027319,15100,NO,1700,NO
10000000000027320,300,NO,100,NO
10000000000027321,1038021100,YES,45200,YES
10000000000027322,1500,NO,300,NO
10000000000027323,500,NO,2500,NO
10000000000027324,300,NO,100,NO
10000000000027325,500,NO,2100,NO
10000000000027326,300,NO,100,NO
10000000000027327,396900,NO,2800,NO
10000000000027328,300,NO,100,NO
10000000000027329,300,NO,1700,NO
10000000000027330,200,NO,100,NO
10000000000027331,400,NO,1600,NO
10000000000027332,300,NO,100,NO
10000000000027333,800,NO,1500,NO
10000000000027334,300,NO,100,NO
10000000000027335,300,NO,1800,NO
10000000000027336,300,NO,100,NO
10000000000027337,500,NO,1600,NO
10000000000027338,300,NO,100,NO
10000000000027339,3100,NO,1700,NO
10000000000027340,200,NO,100,NO
10000000000027341,300,NO,1600,NO
10000000000027342,200,NO,100,NO
10000000000027343,500,NO,1500,NO
10000000000027344,200,NO,100,NO
10000000000027345,400,NO,1500,NO
10000000000027346,300,NO,100,NO
10000000000027347,400,NO,1600,NO
10000000000027348,200,NO,100,NO
10000000000027349,500,NO,1600,NO
10000000000027350,400,NO,100,NO
10000000000027351,6213200,NO,4800,NO
10000000000027352,500,NO,200,NO
10000000000027353,400,NO,1900,NO
10000000000027354,200,NO,100,NO
10000000000027355,400,NO,1600,NO
10000000000027356,300,NO,100,NO
10000000000027357,3100,NO,1600,NO
10000000000027358,300,NO,100,NO
10000000000027359,300,NO,1600,NO
10000000000027360,300,NO,100,NO
10000000000027361,1600,NO,1600,NO
10000000000027362,300,NO,100,NO
10000000000027363,700,NO,1800,NO
10000000000027364,300,NO,100,NO
10000000000027365,300,NO,1500,NO
10000000000027366,300,NO,100,NO
10000000000027367,400,NO,1700,NO
10000000000027368,300,NO,200,NO
10000000000027369,500,NO,1600,NO
10000000000027370,300,NO,100,NO
10000000000027371,300,NO,1600,NO
10000000000027372,300,NO,100,NO
10000000000027373,400,NO,1600,NO
10000000000027374,300,NO,100,NO
10000000000027375,400,NO,1400,NO
10000000000027376,300,NO,100,NO
10000000000027377,300,NO,1500,NO
10000000000027378,300,NO,100,NO
10000000000027379,9600,NO,1700,NO
10000000000027380,300,NO,100,NO
10000000000027381,451921600,NO,6200,NO
10000000000027382,1400,NO,400,NO
10000000000027383,400,NO,2600,NO
10000000000027384,300,NO,200,NO
10000000000027385,400,NO,1900,NO
10000000000027386,300,NO,100,NO
10000000000027387,400,NO,1600,NO
10000000000027388,300,NO,100,NO
10000000000027389,300,NO,1800,NO
10000000000027390,300,NO,100,NO
10000000000027391,1100,NO,1600,NO
10000000000027392,300,NO,100,NO
10000000000027393,43600,NO,2000,NO
10000000000027394,300,NO,100,NO
10000000000027395,300,NO,1500,NO
10000000000027396,200,NO,100,NO
10000000000027397,24336000,NO,7500,NO
10000000000027398,1100,NO,200,NO
10000000000027399,1900,NO,2900,NO
10000000000027400,300,NO,200,NO
10000000000027401,300,NO,1800,NO
10000000000027402,300,NO,200,NO
10000000000027403,600,NO,1800,NO
10000000000027404,300,NO,100,NO
10000000000027405,400,NO,1700,NO
10000000000027406,300,NO,200,NO
10000000000027407,400,NO,1700,NO
10000000000027408,300,NO,100,NO
10000000000027409,5200,NO,1600,NO
10000000000027410,200,NO,100,NO
10000000000027411,500,NO,1700,NO
10000000000027412,300,NO,100,NO
10000000000027413,300,NO,1500,NO
10000000000027414,200,NO,100,NO
10000000000027415,400,NO,1600,NO
10000000000027416,300,NO,100,NO
10000000000027417,2900,NO,1500,NO
10000000000027418,300,NO,100,NO
10000000000027419,300,NO,1600,NO
10000000000027420,200,NO,100,NO
10000000000027421,3600,NO,1600,NO
10000000000027422,300,NO,100,NO
10000000000027423,2000,NO,1600,NO
10000000000027424,300,NO,100,NO
10000000000027425,300,NO,1500,NO
10000000000027426,300,NO,100,NO
10000000000027427,400,NO,1700,NO
10000000000027428,300,NO,100,NO
10000000000027429,400,NO,1600,NO
10000000000027430,300,NO,100,NO
10000000000027431,300,NO,1600,NO
10000000000027432,300,NO,100,NO
10000000000027433,500,NO,1600,NO
10000000000027434,300,NO,100,NO
10000000000027435,300,NO,1600,NO
10000000000027436,300,NO,100,NO
10000000000027437,300,NO,1600,NO
10000000000027438,200,NO,100,NO
10000000000027439,1033625100,YES,44100,YES
10000000000027440,1200,NO,200,NO
10000000000027441,1432600,NO,4300,NO
10000000000027442,700,NO,100,NO
10000000000027443,300,NO,2100,NO
10000000000027444,200,NO,100,NO
10000000000027445,400,NO,1700,NO
10000000000027446,300,NO,100,NO
10000000000027447,700,NO,1700,NO
10000000000027448,300,NO,100,NO
10000000000027449,300,NO,1500,NO
10000000000027450,200,NO,100,NO
10000000000027451,500,NO,1500,NO
10000000000027452,300,NO,100,NO
10000000000027453,400,NO,1500,NO
10000000000027454,300,NO,100,NO
10000000000027455,300,NO,1500,NO
10000000000027456,300,NO,100,NO
10000000000027457,400,NO,1800,NO
10000000000027458,300,NO,100,NO
10000000000027459,571616400,NO,7500,NO
10000000000027460,1700,NO,200,NO
10000000000027461,1600,NO,3300,NO
10000000000027462,800,NO,200,NO
10000000000027463,1600,NO,3000,NO
10000000000027464,200,NO,100,NO
10000000000027465,300,NO,1900,NO
10000000000027466,200,NO,100,NO
10000000000027467,300,NO,1600,NO
10000000000027468,200,NO,100,NO
10000000000027469,2100,NO,1500,NO
10000000000027470,300,NO,100,NO
10000000000027471,1000,NO,2800,NO
10000000000027472,400,NO,200,NO
10000000000027473,400,NO,2400,NO
10000000000027474,300,NO,100,NO
10000000000027475,400,NO,2100,NO
10000000000027476,300,NO,100,NO
10000000000027477,400,NO,1900,NO
10000000000027478,300,NO,100,NO
10000000000027479,300,NO,1700,NO
10000000000027480,300,NO,100,NO
10000000000027481,600,NO,1600,NO
10000000000027482,300,NO,100,NO
10000000000027483,7200,NO,1800,NO
10000000000027484,2300,NO,200,NO
10000000000027485,300,NO,1600,NO
10000000000027486,300,NO,100,NO
10000000000027487,700,NO,1600,NO
10000000000027488,300,NO,100,NO
10000000000027489,500,NO,1500,NO
10000000000027490,300,NO,100,NO
10000000000027491,300,NO,1500,NO
10000000000027492,300,NO,100,NO
10000000000027493,51223500,NO,9000,NO
10000000000027494,2100,NO,200,NO
10000000000027495,500,NO,2900,NO
10000000000027496,400,NO,100,NO
10000000000027497,300,NO,2100,NO
10000000000027498,300,NO,100,NO
10000000000027499,400,NO,1800,NO
10000000000027500,300,NO,100,NO
10000000000027501,800,NO,1900,NO
10000000000027502,300,NO,100,NO
10000000000027503,300,NO,1800,NO
10000000000027504,300,NO,100,NO
10000000000027505,400,NO,1600,NO
10000000000027506,300,NO,100,NO
10000000000027507,8800,NO,1700,NO
10000000000027508,200,NO,100,NO
10000000000027509,300,NO,1600,NO
10000000000027510,300,NO,100,NO
10000000000027511,38949100,NO,8900,NO
10000000000027512,2100,NO,300,NO
10000000000027513,500,NO,3000,NO
10000000000027514,200,NO,100,NO
10000000000027515,300,NO,2000,NO
10000000000027516,300,NO,100,NO
10000000000027517,1031292400,YES,45600,YES
10000000000027518,1500,NO,200,NO
10000000000027519,2300,NO,3300,NO
10000000000027520,500,NO,100,NO
10000000000027521,400,NO,2700,NO
10000000000027522,300,NO,100,NO
10000000000027523,1200,NO,1800,NO
10000000000027524,200,NO,100,NO
10000000000027525,400,NO,1600,NO
10000000000027526,300,NO,100,NO
10000000000027527,300,NO,1600,NO
10000000000027528,300,NO,100,NO
10000000000027529,5900,NO,1700,NO
10000000000027530,1300,NO,300,NO
10000000000027531,700,NO,2300,NO
10000000000027532,300,NO,100,NO
10000000000027533,300,NO,1900,NO
10000000000027534,300,NO,100,NO
10000000000027535,300,NO,1700,NO
10000000000027536,300,NO,100,NO
10000000000027537,1400,NO,1800,NO
10000000000027538,300,NO,100,NO
10000000000027539,300,NO,1700,NO
10000000000027540,200,NO,100,NO
10000000000027541,300,NO,1600,NO
10000000000027542,300,NO,100,NO
10000000000027543,400,NO,1600,NO
10000000000027544,200,NO,100,NO
10000000000027545,300,NO,1500,NO
10000000000027546,300,NO,100,NO
10000000000027547,1040363500,YES,43600,YES
10000000000027548,1400,NO,200,NO
10000000000027549,700,NO,2200,NO
10000000000027550,300,NO,100,NO
10000000000027551,300,NO,1800,NO
10000000000027552,300,NO,100,NO
10000000000027553,158900,NO,2400,NO
10000000000027554,400,NO,100,NO
10000000000027555,400,NO,1800,NO
10000000000027556,300,NO,100,NO
10000000000027557,300,NO,1500,NO
10000000000027558,300,NO,100,NO
10000000000027559,2800,NO,1600,NO
10000000000027560,300,NO,100,NO
10000000000027561,1035603200,YES,43500,YES
10000000000027562,1200,NO,200,NO
10000000000027563,500,NO,2400,NO
10000000000027564,300,NO,100,NO
10000000000027565,300,NO,1900,NO
10000000000027566,200,NO,100,NO
10000000000027567,800,NO,1600,NO
10000000000027568,300,NO,200,NO
10000000000027569,300,NO,1500,NO
10000000000027570,200,NO,100,NO
10000000000027571,30200,NO,1600,NO
10000000000027572,200,NO,100,NO
10000000000027573,500,NO,1600,NO
10000000000027574,300,NO,100,NO
10000000000027575,300,NO,1600,NO
10000000000027576,300,NO,100,NO
10000000000027577,1021512200,YES,42800,YES
10000000000027578,1000,NO,300,NO
10000000000027579,1700,NO,2400,NO
10000000000027580,300,NO,100,NO
10000000000027581,300,NO,1900,NO
10000000000027582,300,NO,100,NO
10000000000027583,400,NO,1600,NO
10000000000027584,300,NO,100,NO
10000000000027585,300,NO,1600,NO
10000000000027586,200,NO,100,NO
10000000000027587,300,NO,1600,NO
10000000000027588,200,NO,100,NO
10000000000027589,1900,NO,1600,NO
10000000000027590,300,NO,100,NO
10000000000027591,1029875700,YES,45300,YES
10000000000027592,1500,NO,300,NO
10000000000027593,400,NO,2500,NO
10000000000027594,300,NO,100,NO
10000000000027595,600,NO,47600,NO
10000000000027596,400,NO,100,NO
10000000000027597,400,NO,2800,NO
10000000000027598,200,NO,100,NO
10000000000027599,300,NO,1900,NO
10000000000027600,300,NO,200,NO
10000000000027601,6100,NO,1700,NO
10000000000027602,200,NO,100,NO
10000000000027603,800,NO,1700,NO
10000000000027604,300,NO,100,NO
10000000000027605,500,NO,2400,NO
10000000000027606,400,NO,100,NO
10000000000027607,600,NO,1900,NO
10000000000027608,300,NO,100,NO
10000000000027609,400,NO,1800,NO
10000000000027610,200,NO,100,NO
10000000000027611,300,NO,1600,NO
10000000000027612,300,NO,100,NO
10000000000027613,5900,NO,1600,NO
10000000000027614,300,NO,100,NO
10000000000027615,300,NO,1600,NO
10000000000027616,300,NO,100,NO
10000000000027617,300,NO,1700,NO
10000000000027618,300,NO,100,NO
10000000000027619,700,NO,1700,NO
10000000000027620,200,NO,100,NO
10000000000027621,600,NO,1600,NO
10000000000027622,300,NO,100,NO
10000000000027623,300,NO,1500,NO
10000000000027624,200,NO,100,NO
10000000000027625,400,NO,1600,NO
10000000000027626,300,NO,100,NO
10000000000027627,2600,NO,1700,NO
10000000000027628,300,NO,100,NO
10000000000027629,300,NO,1500,NO
10000000000027630,1100,NO,200,NO
10000000000027631,600,NO,2900,NO
10000000000027632,300,NO,100,NO
10000000000027633,1800,NO,2100,NO
10000000000027634,300,NO,100,NO
10000000000027635,300,NO,1600,NO
10000000000027636,200,NO,100,NO
10000000000027637,1034040800,YES,47200,YES
10000000000027638,1800,NO,400,NO
10000000000027639,500,NO,2400,NO
10000000000027640,300,NO,100,NO
10000000000027641,300,NO,2100,NO
10000000000027642,200,NO,100,NO
10000000000027643,2166500,NO,4400,NO
10000000000027644,500,NO,100,NO
10000000000027645,400,NO,2000,NO
10000000000027646,200,NO,100,NO
10000000000027647,300,NO,1700,NO
10000000000027648,300,NO,100,NO
10000000000027649,1032347400,YES,45200,YES
10000000000027650,1300,NO,200,NO
10000000000027651,2700,NO,2400,NO
10000000000027652,300,NO,100,NO
10000000000027653,300,NO,1900,NO
10000000000027654,200,NO,100,NO
10000000000027655,300,NO,2000,NO
10000000000027656,300,NO,100,NO
10000000000027657,151130500,NO,8200,NO
10000000000027658,1600,NO,300,NO
10000000000027659,400,NO,2600,NO
10000000000027660,300,NO,100,NO
10000000000027661,400,NO,1800,NO
10000000000027662,300,NO,100,NO
10000000000027663,1038205900,YES,45400,YES
10000000000027664,1200,NO,200,NO
10000000000027665,500,NO,2400,NO
10000000000027666,1000,NO,4700,NO
10000000000027667,600,NO,3100,NO
10000000000027668,300,NO,100,NO
10000000000027669,1046745300,YES,43700,YES
10000000000027670,1300,NO,200,NO
10000000000027671,400,NO,2600,NO
10000000000027672,300,NO,200,NO
10000000000027673,1000,NO,2100,NO
10000000000027674,300,NO,100,NO
10000000000027675,300,NO,1900,NO
10000000000027676,200,NO,100,NO
10000000000027677,400,NO,1600,NO
10000000000027678,200,NO,100,NO
10000000000027679,500,NO,1500,NO
10000000000027680,300,NO,200,NO
10000000000027681,400,NO,1600,NO
10000000000027682,300,NO,100,NO
10000000000027683,300,NO,1700,NO
10000000000027684,300,NO,100,NO
10000000000027685,400,NO,1600,NO
10000000000027686,200,NO,100,NO
10000000000027687,500,NO,1600,NO
10000000000027688,400,NO,100,NO
10000000000027689,400,NO,1900,NO
10000000000027690,200,NO,100,NO
10000000000027691,1200,NO,1500,NO
10000000000027692,300,NO,100,NO
10000000000027693,299500,NO,2700,NO
10000000000027694,400,NO,100,NO
10000000000027695,400,NO,2000,NO
10000000000027696,200,NO,100,NO
10000000000027697,400,NO,1600,NO
10000000000027698,300,NO,100,NO
10000000000027699,1100,NO,1500,NO
10000000000027700,300,NO,100,NO
10000000000027701,400,NO,1500,NO
10000000000027702,200,NO,100,NO
10000000000027703,800,NO,1600,NO
10000000000027704,300,NO,100,NO
10000000000027705,300,NO,1600,NO
10000000000027706,200,NO,100,NO
10000000000027707,300,NO,1600,NO
10000000000027708,200,NO,100,NO
10000000000027709,400,NO,1600,NO
10000000000027710,200,NO,100,NO
10000000000027711,600,NO,1500,NO
10000000000027712,300,NO,100,NO
10000000000027713,300,NO,1600,NO
10000000000027714,300,NO,100,NO
10000000000027715,400,NO,1600,NO
10000000000027716,300,NO,100,NO
10000000000027717,500,NO,1600,NO
10000000000027718,300,NO,100,NO
10000000000027719,400,NO,1600,NO
10000000000027720,300,NO,100,NO
10000000000027721,43300,NO,1800,NO
10000000000027722,300,NO,100,NO
10000000000027723,400,NO,1600,NO
10000000000027724,300,NO,100,NO
10000000000027725,300,NO,1500,NO
10000000000027726,300,NO,100,NO
10000000000027727,68402900,NO,8200,NO
10000000000027728,1400,NO,300,NO
10000000000027729,127353300,NO,7800,NO
10000000000027730,1700,NO,200,NO
10000000000027731,700,NO,3100,NO
10000000000027732,300,NO,200,NO
10000000000027733,1037215300,YES,45700,YES
10000000000027734,1500,NO,200,NO
10000000000027735,600,NO,2800,NO
10000000000027736,400,NO,200,NO
10000000000027737,300,NO,1900,NO
10000000000027738,300,NO,100,NO
10000000000027739,400,NO,1700,NO
10000000000027740,300,NO,100,NO
10000000000027741,400,NO,1500,NO
10000000000027742,300,NO,100,NO
10000000000027743,300,NO,1600,NO
10000000000027744,300,NO,100,NO
10000000000027745,300,NO,1700,NO
10000000000027746,200,NO,100,NO
10000000000027747,900,NO,1600,NO
10000000000027748,300,NO,100,NO
10000000000027749,300,NO,1600,NO
10000000000027750,300,NO,100,NO
10000000000027751,600,NO,2500,NO
10000000000027752,300,NO,100,NO
10000000000027753,1900,NO,3500,NO
10000000000027754,500,NO,300,NO
10000000000027755,400,NO,2700,NO
10000000000027756,300,NO,100,NO
10000000000027757,600,NO,2100,NO
10000000000027758,1100,NO,300,NO
10000000000027759,471093200,NO,8800,NO
10000000000027760,1400,NO,400,NO
10000000000027761,400,NO,2700,NO
10000000000027762,300,NO,100,NO
10000000000027763,600,NO,2100,NO
10000000000027764,200,NO,100,NO
10000000000027765,400,NO,1600,NO
10000000000027766,300,NO,0,NO
10000000000027767,300,NO,1700,NO
10000000000027768,200,NO,100,NO
10000000000027769,2000,NO,1600,NO
10000000000027770,300,NO,100,NO
10000000000027771,1023805100,YES,45900,YES
10000000000027772,1400,NO,200,NO
10000000000027773,400,NO,2400,NO
10000000000027774,400,NO,100,NO
10000000000027775,300,NO,1900,NO
